t,AgentID,speed,is_anomaly,anomaly_type,x,y,lon,lat,lon_prev,lat_prev,t_prev,speed_mps,speed_knots
2025-09-02 13:48:57.984431,0,0.0100000000000016,False,,250.19575278361827,90.02901168407732,-4.428189045237639,48.328473506632264,,,,,
2025-09-02 13:48:58.984431,0,0.0100000000000016,False,,250.20213161735435,90.03671301384352,-4.428184802806512,48.328478093921404,-4.428189045237639,48.328473506632264,2025-09-02 13:48:57.984431,0.5987938704411423,1.1639618722937917
2025-09-02 13:48:59.984431,0,0.0109999999999996,False,,250.20892417296795,90.04536524986872,-4.428180285217473,48.32848324761688,-4.428184802806512,48.328478093921404,2025-09-02 13:48:58.984431,0.6632845107628899,1.2893216165393788
2025-09-02 13:49:00.984431,0,0.0120000000000132,False,,250.21633423363733,90.05480405280531,-4.428175356938522,48.328488869830124,-4.428180285217473,48.32848324761688,2025-09-02 13:48:59.984431,0.7235830830699272,1.4065326345269795
2025-09-02 13:49:01.984431,0,0.0129999999999981,False,,250.22436179936253,90.06502942265327,-4.4281700179696575,48.32849496056114,-4.428175356938522,48.328488869830124,2025-09-02 13:49:00.984431,0.7838816503537731,1.5237436427502797
2025-09-02 13:49:02.984431,0,0.0139999999999941,False,,250.2330068701436,90.0760413594126,-4.428164268310881,48.32850151980992,-4.4281700179696575,48.32849496056114,2025-09-02 13:49:01.984431,0.8441802121269483,1.6409546402616955
2025-09-02 13:49:03.984431,0,0.0149999999999966,False,,250.2422694459804,90.08783986308332,-4.428158107962191,48.328508547576476,-4.428164268310881,48.32850151980992,2025-09-02 13:49:02.984431,0.904478768716843,1.7581656276976227
2025-09-02 13:49:04.984431,0,0.0159999999999926,False,,250.25214952687287,90.10042493366544,-4.428151536923589,48.3285160438608,-4.428158107962191,48.328508547576476,2025-09-02 13:49:03.984431,0.9647773182707372,1.8753766014566629
2025-09-02 13:49:05.984431,0,0.0170000000000062,False,,250.2626471128212,90.11379657115891,-4.428144555195074,48.328524008662896,-4.428151536923589,48.3285160438608,2025-09-02 13:49:04.984431,1.0250758610829596,1.9925875621109443
2025-09-02 13:49:06.984431,0,0.0179999999999911,False,,250.27376220382533,90.1279547755638,-4.428137162776647,48.32853244198276,-4.428144555195074,48.328524008662896,2025-09-02 13:49:05.984431,1.0853743967652179,2.109798508905688
2025-09-02 13:49:07.984431,0,0.0190000000000047,False,,250.28549479988524,90.14289954688005,-4.428129359668307,48.32854134382039,-4.428137162776647,48.32853244198276,2025-09-02 13:49:06.984431,1.1456729248300317,2.227009440893308
2025-09-02 13:49:08.984431,0,0.0200000000000008,False,,250.29784490100093,90.15863088510768,-4.428121145870055,48.3285507141758,-4.428129359668307,48.32854134382039,2025-09-02 13:49:07.984431,1.2059714455717303,2.3442203586459343
2025-09-02 13:49:09.984431,0,0.0210000000000032,False,,250.3108125071724,90.1751487902467,-4.428112521381889,48.32856055304897,-4.428121145870055,48.3285507141758,2025-09-02 13:49:08.984431,1.2662699572367804,2.461431258754972
2025-09-02 13:49:10.984431,0,0.0219999999999992,False,,250.32439761839967,90.1924532622971,-4.428103486203812,48.32857086043992,-4.428112521381889,48.32856055304897,2025-09-02 13:49:09.984431,1.3265684600203227,2.578642141599744
2025-09-02 13:49:11.984431,0,0.0230000000000128,False,,250.3386002346828,90.21054430125888,-4.4280940403358215,48.32858163634864,-4.428103486203812,48.32857086043992,2025-09-02 13:49:10.984431,1.3868669542166854,2.6958530077523783
2025-09-02 13:49:12.984431,0,0.0239999999999977,False,,250.3534203560216,90.22942190713204,-4.428084183777918,48.328592880775126,-4.4280940403358215,48.32858163634864,2025-09-02 13:49:11.984431,1.4471654380723356,2.8130638538042807
2025-09-02 13:49:13.984431,0,0.0250000000000075,False,,250.36833794429268,90.24948345144382,-4.4280742623967635,48.32860483041332,-4.428084183777918,48.328592880775126,2025-09-02 13:49:12.984431,1.5177398765821253,2.9502495526549044
