t,AgentID,speed,is_anomaly,anomaly_type,x,y
2025-09-02 13:44:55.955294000,0_0,0.0001006166395279,False,,-4.44659580050465,48.36960528864835
2025-09-02 13:44:56.955294000,0_0,0.0001006166395279,False,,-4.446619366328369,48.36950747065357
2025-09-02 13:45:04.955294000,0_1,0.0001008011252355,False,,-4.446721621093004,48.3687290635564
2025-09-02 13:45:05.955294000,0_1,0.0001008011252355,False,,-4.446730788370033,48.36862868015199
2025-09-02 13:45:06.955294000,0_1,0.0001001589312698,False,,-4.446739897243249,48.36852893628029
2025-09-02 13:45:07.955294000,0_1,0.0001007550682872,False,,-4.446749060331665,48.36842859874197
2025-09-02 13:45:08.955294000,0_1,0.0001014126995201,False,,-4.446761224514651,48.36832791821617
2025-09-02 13:45:09.955294000,0_1,0.0001020878031799,False,,-4.446776416072909,48.36822696705909
2025-09-02 13:45:10.955294000,0_1,0.0001027804177851,False,,-4.446794659102415,48.36812581862284
2025-09-02 13:45:11.955294000,0_1,0.0001034905228962,False,,-4.446815975474251,48.36802454720229
2025-09-02 13:45:12.955294000,0_1,0.0001042180389066,False,,-4.446840384796058,48.3679232279808
2025-09-02 13:45:13.955294000,0_1,0.0001049628275193,False,,-4.446867904375148,48.36782193697465
2025-09-02 13:45:14.955294000,0_1,0.000105724691927,False,,-4.4468985491833175,48.36772075097653
2025-09-02 13:45:15.955294000,0_1,0.0001065033778388,False,,-4.446932331823396,48.36761974749778
2025-09-02 13:45:16.955294000,0_1,0.0001072985742866,False,,-4.446969262497579,48.367519004709706
2025-09-02 13:45:17.955294000,0_1,0.0001079013303243,False,,-4.447006400631993,48.36741769599311
2025-09-02 13:45:18.955294000,0_1,0.0001087138362091,False,,-4.447046711042205,48.36731673179643
2025-09-02 13:45:19.955294000,0_1,0.0001093177574404,False,,-4.447087245382631,48.36721520672889
2025-09-02 13:45:20.955294000,0_1,0.0001101473013519,False,,-4.447130973475123,48.3671141113189
2025-09-02 13:45:21.955294000,0_1,0.0001107524621764,False,,-4.447174941814342,48.36701246048012
2025-09-02 13:45:22.955294000,0_1,0.0001113576230078,False,,-4.447219150400287,48.36691025421255
2025-09-02 13:45:23.955294000,0_1,0.0001119627838254,False,,-4.447263599232959,48.3668074925162
2025-09-02 13:45:24.955294000,0_1,0.000112567944663,False,,-4.447308288312357,48.36670417539106
2025-09-02 13:45:25.955294000,0_1,0.000113173105481,False,,-4.447353217638481,48.366600302837135
2025-09-02 13:45:26.955294000,0_1,0.0001137782663124,False,,-4.447398387211333,48.36649587485442
2025-09-02 13:45:27.955294000,0_1,0.0001143834271365,False,,-4.44744379703091,48.366390891442926
2025-09-02 13:45:28.955294000,0_1,0.0001149885879611,False,,-4.447489447097214,48.366285352602645
