t,AgentID,speed,is_anomaly,anomaly_type,lon,lat,lon_prev,lat_prev,t_prev,speed_mps,speed_knots
2025-09-02 13:48:57.984431,0,0.0100000000000016,False,,-4.428189045237639,48.32847350663226,,,,,
2025-09-02 13:48:58.984431,0,0.0100000000000016,False,,-4.428184802806512,48.328478093921404,-4.428189045237639,48.32847350663226,2025-09-02 13:48:57.984431,0.29939693522057115,0.5819809361468958
2025-09-02 13:48:59.984431,0,0.0109999999999996,False,,-4.428180285217473,48.32848324761688,-4.428184802806512,48.328478093921404,2025-09-02 13:48:58.984431,0.33164225538144493,0.6446608082696894
2025-09-02 13:49:00.984431,0,0.0120000000000132,False,,-4.428175356938522,48.328488869830124,-4.428180285217473,48.32848324761688,2025-09-02 13:48:59.984431,0.3617915415349636,0.7032663172634898
2025-09-02 13:49:01.984431,0,0.0129999999999981,False,,-4.4281700179696575,48.32849496056114,-4.428175356938522,48.328488869830124,2025-09-02 13:49:00.984431,0.39194082517688655,0.7618718213751398
2025-09-02 13:49:02.984431,0,0.0139999999999941,False,,-4.428164268310881,48.32850151980992,-4.4281700179696575,48.32849496056114,2025-09-02 13:49:01.984431,0.42209010606347414,0.8204773201308478
2025-09-02 13:49:03.984431,0,0.0149999999999966,False,,-4.428158107962191,48.32850854757648,-4.428164268310881,48.32850151980992,2025-09-02 13:49:02.984431,0.4522393843584215,0.8790828138488114
2025-09-02 13:49:04.984431,0,0.0159999999999926,False,,-4.428151536923589,48.3285160438608,-4.428158107962191,48.32850854757648,2025-09-02 13:49:03.984431,0.4823886591353686,0.9376883007283314
2025-09-02 13:49:05.984431,0,0.0170000000000062,False,,-4.428144555195074,48.328524008662896,-4.428151536923589,48.3285160438608,2025-09-02 13:49:04.984431,0.5125379305414798,0.9962937810554722
2025-09-02 13:49:06.984431,0,0.0179999999999911,False,,-4.428137162776647,48.32853244198276,-4.428144555195074,48.328524008662896,2025-09-02 13:49:05.984431,0.542687198382609,1.054899254452844
2025-09-02 13:49:07.984431,0,0.0190000000000047,False,,-4.428129359668307,48.32854134382039,-4.428137162776647,48.32853244198276,2025-09-02 13:49:06.984431,0.5728364624150158,1.113504720446654
2025-09-02 13:49:08.984431,0,0.0200000000000008,False,,-4.428121145870055,48.3285507141758,-4.428129359668307,48.32854134382039,2025-09-02 13:49:07.984431,0.6029857227858652,1.1721101793229671
2025-09-02 13:49:09.984431,0,0.0210000000000032,False,,-4.428112521381889,48.32856055304897,-4.428121145870055,48.3285507141758,2025-09-02 13:49:08.984431,0.6331349786183902,1.230715629377486
2025-09-02 13:49:10.984431,0,0.0219999999999992,False,,-4.428103486203812,48.32857086043992,-4.428112521381889,48.32856055304897,2025-09-02 13:49:09.984431,0.6632842300101613,1.289321070799872
2025-09-02 13:49:11.984431,0,0.0230000000000128,False,,-4.4280940403358215,48.32858163634864,-4.428103486203812,48.32857086043992,2025-09-02 13:49:10.984431,0.6934334771083427,1.3479265038761892
